buy #,Symbol,b/s,buy date,purchase price,purchase qty,COGS,sell #,Symbol,b/s,sell date,sell price,sell qty,Revenue,fee,net sale,gain/loss $,gain/loss %,days held,G/L,Week
96,AVGO,B,1/2/2019,252.9699 ,-10,-2529.699,284,AVGO,S,1/2/2019,253.2210 ,10,2532.210,0.050,2532.160,2.511,0.099%,0,G,1
18,BND,B,1/2/2019,79.2750 ,-20,-1585.500,278,BND,S,1/2/2019,79.3000 ,20,1586.000,0.040,1585.960,0.500,0.032%,0,G,1
158,BND,B,1/2/2019,79.3599 ,-20,-1587.198,59,BND,S,1/3/2019,79.6100 ,20,1592.200,0.040,1592.160,5.002,0.315%,1,G,1
154,BSV,B,1/2/2019,78.6192 ,-20,-1572.384,60,BSV,S,1/3/2019,78.7702 ,20,1575.404,0.040,1575.364,3.020,0.192%,1,G,1
12,CME,B,1/2/2019,187.3479 ,-20,-3746.958,196,CME,S,1/2/2019,187.3800 ,20,3747.600,0.060,3747.540,0.642,0.017%,0,G,1
52,CME,B,1/2/2019,187.4400 ,-20,-3748.800,240,CME,S,1/2/2019,187.4825 ,20,3749.650,0.060,3749.590,0.850,0.023%,0,G,1
114,CME,B,1/2/2019,186.9900 ,-20,-3739.800,348,CME,S,1/2/2019,185.8100 ,20,3716.200,0.060,3716.140,-23.600,-0.631%,0,L,1
14,DE,B,1/2/2019,147.5392 ,-25,-3688.480,248,DE,S,1/2/2019,147.6000 ,25,3690.000,0.060,3689.940,1.520,0.041%,0,G,1
104,DE,B,1/2/2019,148.5099 ,-10,-1485.099,282,DE,S,1/2/2019,148.5400 ,10,1485.400,0.030,1485.370,0.301,0.020%,0,G,1
8,DUST,B,1/2/2019,23.1110 ,-100,-2311.100,198,DUST,S,1/2/2019,23.3600 ,100,2336.000,0.050,2335.950,24.900,1.077%,0,G,1
8,DUST,B,1/2/2019,23.1110 ,-100,-2311.100,200,DUST,S,1/2/2019,23.3550 ,100,2335.500,0.050,2335.450,24.400,1.056%,0,G,1
112,DUST,B,1/2/2019,23.1700 ,-200,-4634.000,296,DUST,S,1/2/2019,23.3700 ,200,4674.000,0.090,4673.910,40.000,0.863%,0,G,1
16,ETSY,B,1/2/2019,47.1565 ,-1,-47.157,208,ETSY,S,1/2/2019,46.7300 ,1,46.730,0.020,46.710,-0.427,-0.904%,0,L,1
16,ETSY,B,1/2/2019,47.1565 ,-9,-424.409,226,ETSY,S,1/2/2019,46.7300 ,9,420.570,0.020,420.550,-3.839,-0.904%,0,L,1
94,ETSY,B,1/2/2019,47.1233 ,-40,-1884.932,272,ETSY,S,1/2/2019,47.1800 ,40,1887.200,0.040,1887.160,2.268,0.120%,0,G,1
102,ETSY,B,1/2/2019,47.3736 ,-60,-2842.416,286,ETSY,S,1/2/2019,47.4000 ,60,2844.000,0.050,2843.950,1.584,0.056%,0,G,1
188,ETSY,B,1/2/2019,46.8259 ,-20,-936.518,382,ETSY,S,1/2/2019,46.9700 ,20,939.400,0.030,939.370,2.882,0.308%,0,G,1
4,GLD,B,1/2/2019,121.3950 ,-10,-1213.950,202,GLD,S,1/2/2019,121.4200 ,10,1214.200,0.030,1214.170,0.250,0.021%,0,G,1
66,GLD,B,1/2/2019,121.4690 ,-20,-2429.380,254,GLD,S,1/2/2019,121.5000 ,20,2430.000,0.050,2429.950,0.620,0.026%,0,G,1
122,GLD,B,1/2/2019,121.0550 ,-20,-2421.100,58,GLD,S,1/3/2019,121.9900 ,20,2439.800,0.050,2439.750,18.700,0.772%,1,G,1
2,INTC,B,1/2/2019,46.1799 ,-100,-4617.990,192,INTC,S,1/2/2019,46.2200 ,100,4622.000,0.080,4621.920,4.010,0.087%,0,G,1
44,INTC,B,1/2/2019,47.0000 ,-10,-470.000,234,INTC,S,1/2/2019,46.9010 ,10,469.010,0.020,468.990,-0.990,-0.211%,0,L,1
72,IRM,B,1/2/2019,32.0800 ,-100,-3208.000,280,IRM,S,1/2/2019,32.1000 ,100,3210.000,0.050,3209.950,2.000,0.062%,0,G,1
74,IRM,B,1/2/2019,32.0800 ,-20,-641.600,280,IRM,S,1/2/2019,32.1000 ,20,642.000,0.020,641.980,0.400,0.062%,0,G,1
24,KO,B,1/2/2019,46.8299 ,-40,-1873.196,298,KO,S,1/2/2019,46.8500 ,40,1874.000,0.040,1873.960,0.804,0.043%,0,G,1
10,NKE,B,1/2/2019,73.2493 ,-35,-2563.726,204,NKE,S,1/2/2019,73.8500 ,35,2584.750,0.050,2584.700,21.025,0.820%,0,G,1
10,NKE,B,1/2/2019,73.2493 ,-25,-1831.233,206,NKE,S,1/2/2019,73.8400 ,25,1846.000,0.040,1845.960,14.767,0.806%,0,G,1
184,NKE,B,1/2/2019,73.8800 ,-20,-1477.600,378,NKE,S,1/2/2019,73.9401 ,20,1478.802,0.030,1478.772,1.202,0.081%,0,G,1
50,O,B,1/2/2019,61.8499 ,-20,-1236.998,236,O,S,1/2/2019,61.8700 ,20,1237.400,0.030,1237.370,0.402,0.032%,0,G,1
56,O,B,1/2/2019,62.0997 ,-20,-1241.994,242,O,S,1/2/2019,62.1200 ,20,1242.400,0.030,1242.370,0.406,0.033%,0,G,1
106,PANW,B,1/2/2019,185.2723 ,-1,-185.272,288,PANW,S,1/2/2019,185.3000 ,1,185.300,0.020,185.280,0.028,0.015%,0,G,1
106,PANW,B,1/2/2019,185.2723 ,-19,-3520.174,292,PANW,S,1/2/2019,185.3000 ,19,3520.700,0.060,3520.640,0.526,0.015%,0,G,1
116,PEGI,B,1/2/2019,18.7294 ,-300,-5618.820,346,PEGI,S,1/2/2019,18.7500 ,300,5625.000,0.120,5624.880,6.180,0.110%,0,G,1
144,PFE,B,1/2/2019,43.2770 ,-31,-1341.587,324,PFE,S,1/2/2019,43.3110 ,31,1342.641,0.030,1342.611,1.054,0.079%,0,G,1
144,PFE,B,1/2/2019,43.2770 ,-15,-649.155,326,PFE,S,1/2/2019,43.3110 ,15,649.665,0.020,649.645,0.510,0.079%,0,G,1
144,PFE,B,1/2/2019,43.2770 ,-4,-173.108,330,PFE,S,1/2/2019,43.3110 ,4,173.244,0.020,173.224,0.136,0.079%,0,G,1
144,PFE,B,1/2/2019,43.2770 ,-50,-2163.850,332,PFE,S,1/2/2019,43.3100 ,50,2165.500,0.040,2165.460,1.650,0.076%,0,G,1
100,PG,B,1/2/2019,90.7996 ,-10,-907.996,300,PG,S,1/2/2019,90.8300 ,10,908.300,0.030,908.270,0.304,0.033%,0,G,1
140,PG,B,1/2/2019,90.8750 ,-1,-90.875,336,PG,S,1/2/2019,90.9000 ,1,90.900,0.020,90.880,0.025,0.028%,0,G,1
140,PG,B,1/2/2019,90.8750 ,-19,-1726.625,340,PG,S,1/2/2019,90.9000 ,19,1727.100,0.040,1727.060,0.475,0.028%,0,G,1
6,SBUX,B,1/2/2019,63.6899 ,-75,-4776.743,194,SBUX,S,1/2/2019,63.7300 ,75,4779.750,0.080,4779.670,3.007,0.063%,0,G,1
70,SBUX,B,1/2/2019,63.4500 ,-20,-1269.000,252,SBUX,S,1/2/2019,63.4800 ,20,1269.600,0.030,1269.570,0.600,0.047%,0,G,1
92,SBUX,B,1/2/2019,63.5600 ,-20,-1271.200,274,SBUX,S,1/2/2019,63.6201 ,20,1272.402,0.030,1272.372,1.202,0.095%,0,G,1
110,SBUX,B,1/2/2019,63.9999 ,-20,-1279.998,318,SBUX,S,1/2/2019,64.0400 ,20,1280.800,0.030,1280.770,0.802,0.063%,0,G,1
164,SBUX,B,1/2/2019,64.2300 ,-20,-1284.600,384,SBUX,S,1/2/2019,64.2500 ,20,1285.000,0.030,1284.970,0.400,0.031%,0,G,1
162,SH,B,1/2/2019,31.4550 ,-40,-1258.200,370,SH,S,1/2/2019,31.4700 ,40,1258.800,0.030,1258.770,0.600,0.048%,0,G,1
182,SH,B,1/2/2019,31.4800 ,-60,-1888.800,380,SH,S,1/2/2019,31.3630 ,60,1881.780,0.040,1881.740,-7.020,-0.372%,0,L,1
142,SLV,B,1/2/2019,14.5498 ,-200,-2909.960,40,SLV,S,1/3/2019,14.6700 ,200,2934.000,0.060,2933.940,24.040,0.826%,1,G,1
152,SPXU,B,1/2/2019,46.3000 ,-30,-1389.000,372,SPXU,S,1/2/2019,46.7200 ,30,1401.600,0.030,1401.570,12.600,0.907%,0,G,1
26,TCEHY,B,1/2/2019,39.3500 ,-20,-787.000,232,TCEHY,S,1/2/2019,39.3700 ,20,787.400,0.030,787.370,0.400,0.051%,0,G,1
150,TSCO,B,1/2/2019,82.5885 ,-10,-825.885,344,TSCO,S,1/2/2019,82.6200 ,10,826.200,0.030,826.170,0.315,0.038%,0,G,1
22,TVIX,B,1/2/2019,74.0600 ,-60,-4443.600,230,TVIX,S,1/2/2019,74.0900 ,60,4445.400,0.070,4445.330,1.800,0.041%,0,G,1
46,TVIX,B,1/2/2019,72.8370 ,-60,-4370.220,238,TVIX,S,1/2/2019,71.3900 ,60,4283.400,0.070,4283.330,-86.820,-1.987%,0,L,1
58,TVIX,B,1/2/2019,71.9500 ,-20,-1439.000,276,TVIX,S,1/2/2019,69.0513 ,20,1381.026,0.030,1380.996,-57.974,-4.029%,0,L,1
120,TVIX,B,1/2/2019,69.2779 ,-100,-6927.790,322,TVIX,S,1/2/2019,69.3400 ,100,6934.000,0.110,6933.890,6.210,0.090%,0,G,1
156,TVIX,B,1/2/2019,69.0599 ,-40,-2762.396,368,TVIX,S,1/2/2019,69.1500 ,40,2766.000,0.050,2765.950,3.604,0.130%,0,G,1
148,UVXY,B,1/2/2019,79.5200 ,-20,-1590.400,342,UVXY,S,1/2/2019,79.5500 ,20,1591.000,0.040,1590.960,0.600,0.038%,0,G,1
62,VIXY,B,1/2/2019,38.9000 ,-40,-1556.000,246,VIXY,S,1/2/2019,38.7800 ,40,1551.200,0.040,1551.160,-4.800,-0.308%,0,L,1
20,VXX,B,1/2/2019,47.8200 ,-80,-3825.600,228,VXX,S,1/2/2019,47.8600 ,80,3828.800,0.060,3828.740,3.200,0.084%,0,G,1
160,VXX,B,1/2/2019,46.3400 ,-20,-926.800,376,VXX,S,1/2/2019,45.8403 ,20,916.806,0.030,916.776,-9.994,-1.078%,0,L,1
54,YUM,B,1/2/2019,91.0400 ,-20,-1820.800,320,YUM,S,1/2/2019,91.0600 ,20,1821.200,0.040,1821.160,0.400,0.022%,0,G,1
146,YUM,B,1/2/2019,91.2700 ,-20,-1825.400,366,YUM,S,1/2/2019,90.9300 ,20,1818.600,0.040,1818.560,-6.800,-0.373%,0,L,1
190,YUM,B,1/2/2019,91.2399 ,-20,-1824.798,39,YUM,S,1/3/2019,90.3801 ,20,1807.602,0.040,1807.562,-17.196,-0.942%,1,L,1
12,ABT,B,1/3/2019,66.5176 ,-75,-4988.820,54,ABT,S,1/3/2019,66.5900 ,75,4994.250,0.080,4994.170,5.430,0.109%,0,G,1
25,BND,B,1/3/2019,79.6099 ,-40,-3184.396,172,BND,S,1/4/2019,79.4606 ,40,3178.424,0.060,3178.364,-5.972,-0.188%,1,L,1
8,ETSY,B,1/3/2019,46.3718 ,-100,-4637.180,48,ETSY,S,1/3/2019,46.3900 ,100,4639.000,0.080,4638.920,1.820,0.039%,0,G,1
9,INTC,B,1/3/2019,45.3500 ,-100,-4535.000,47,INTC,S,1/3/2019,45.3800 ,100,4538.000,0.070,4537.930,3.000,0.066%,0,G,1
11,INTC,B,1/3/2019,45.4100 ,-100,-4541.000,53,INTC,S,1/3/2019,45.5100 ,100,4551.000,0.070,4550.930,10.000,0.220%,0,G,1
23,IRM,B,1/3/2019,32.7800 ,-79,-2589.620,71,IRM,S,1/3/2019,32.8500 ,79,2595.150,0.050,2595.100,5.530,0.214%,0,G,1
23,IRM,B,1/3/2019,32.7800 ,-21,-688.380,72,IRM,S,1/3/2019,32.8500 ,21,689.850,0.020,689.830,1.470,0.214%,0,G,1
13,NBEV,B,1/3/2019,5.5178 ,-1,-5.518,50,NBEV,S,1/3/2019,5.5500 ,1,5.550,0.020,5.530,0.032,0.584%,0,G,1
13,NBEV,B,1/3/2019,5.5178 ,-99,-546.262,51,NBEV,S,1/3/2019,5.5500 ,99,549.450,0.020,549.430,3.188,0.584%,0,G,1
27,NBEV,B,1/3/2019,5.6300 ,-100,-563.000,65,NBEV,S,1/3/2019,5.6500 ,100,565.000,0.020,564.980,2.000,0.355%,0,G,1
28,NBEV,B,1/3/2019,5.6300 ,-100,-563.000,65,NBEV,S,1/3/2019,5.6500 ,100,565.000,0.020,564.980,2.000,0.355%,0,G,1
35,NBEV,B,1/3/2019,5.6079 ,-500,-2803.950,119,NBEV,S,1/4/2019,5.6300 ,500,2815.000,0.100,2814.900,11.050,0.394%,1,G,1
35,NBEV,B,1/3/2019,5.6079 ,-4,-22.432,120,NBEV,S,1/4/2019,5.6300 ,4,22.520,0.020,22.500,0.088,0.394%,1,G,1
35,NBEV,B,1/3/2019,5.6079 ,-3,-16.824,121,NBEV,S,1/4/2019,5.6300 ,3,16.890,0.020,16.870,0.066,0.394%,1,G,1
35,NBEV,B,1/3/2019,5.6079 ,-1,-5.608,122,NBEV,S,1/4/2019,5.6300 ,1,5.630,0.020,5.610,0.022,0.394%,1,G,1
35,NBEV,B,1/3/2019,5.6079 ,-65,-364.514,123,NBEV,S,1/4/2019,5.6300 ,65,365.950,0.020,365.930,1.437,0.394%,1,G,1
35,NBEV,B,1/3/2019,5.6079 ,-35,-196.277,124,NBEV,S,1/4/2019,5.6300 ,35,197.050,0.020,197.030,0.773,0.394%,1,G,1
35,NBEV,B,1/3/2019,5.6079 ,-192,-1076.717,127,NBEV,S,1/4/2019,5.3521 ,192,1027.603,0.040,1027.563,-49.114,-4.561%,1,L,1
10,NKE,B,1/3/2019,72.2800 ,-50,-3614.000,49,NKE,S,1/3/2019,72.3000 ,50,3615.000,0.060,3614.940,1.000,0.028%,0,G,1
20,NKE,B,1/3/2019,73.0096 ,-65,-4745.624,61,NKE,S,1/3/2019,73.0700 ,65,4749.550,0.080,4749.470,3.926,0.083%,0,G,1
34,NKE,B,1/3/2019,72.9899 ,-20,-1459.798,73,NKE,S,1/3/2019,73.0300 ,20,1460.600,0.030,1460.570,0.802,0.055%,0,G,1
16,SBUX,B,1/3/2019,62.3400 ,-16,-997.440,129,SBUX,S,1/4/2019,62.9000 ,16,1006.400,0.030,1006.370,8.960,0.898%,1,G,1
16,SBUX,B,1/3/2019,62.3400 ,-59,-3678.060,130,SBUX,S,1/4/2019,62.9000 ,59,3711.100,0.060,3711.040,33.040,0.898%,1,G,1
17,SH,B,1/3/2019,31.7500 ,-100,-3175.000,56,SH,S,1/3/2019,31.7700 ,100,3177.000,0.060,3176.940,2.000,0.063%,0,G,1
36,SH,B,1/3/2019,31.8800 ,-120,-3825.600,75,SH,S,1/3/2019,32.0600 ,120,3847.200,0.070,3847.130,21.600,0.565%,0,G,1
19,SPXU,B,1/3/2019,48.6191 ,-100,-4861.910,62,SPXU,S,1/3/2019,48.6710 ,100,4867.100,0.080,4867.020,5.190,0.107%,0,G,1
30,SPXU,B,1/3/2019,48.9098 ,-100,-4890.980,70,SPXU,S,1/3/2019,49.2800 ,100,4928.000,0.080,4927.920,37.020,0.757%,0,G,1
2,TCEHY,B,1/3/2019,38.9800 ,-40,-1559.200,41,TCEHY,S,1/3/2019,38.5500 ,40,1542.000,0.040,1541.960,-17.200,-1.103%,0,L,1
24,TSCO,B,1/3/2019,81.4591 ,-20,-1629.182,67,TSCO,S,1/3/2019,80.7201 ,20,1614.402,0.040,1614.362,-14.780,-0.907%,0,L,1
3,TVIX,B,1/3/2019,70.1999 ,-60,-4211.994,42,TVIX,S,1/3/2019,73.1200 ,60,4387.200,0.070,4387.130,175.206,4.160%,0,G,1
15,TVIX,B,1/3/2019,72.4487 ,-75,-5433.653,52,TVIX,S,1/3/2019,70.1200 ,75,5259.000,0.080,5258.920,-174.653,-3.214%,0,L,1
18,TVIX,B,1/3/2019,70.4089 ,-40,-2816.356,57,TVIX,S,1/3/2019,70.5100 ,40,2820.400,0.050,2820.350,4.044,0.144%,0,G,1
29,TVIX,B,1/3/2019,71.5573 ,-40,-2862.292,68,TVIX,S,1/3/2019,71.6200 ,40,2864.800,0.050,2864.750,2.508,0.088%,0,G,1
37,TVIX,B,1/3/2019,72.7799 ,-65,-4730.694,118,TVIX,S,1/4/2019,66.6612 ,65,4332.978,0.070,4332.908,-397.716,-8.407%,1,L,1
26,TZA,B,1/3/2019,15.3850 ,-200,-3077.000,66,TZA,S,1/3/2019,15.4410 ,200,3088.200,0.070,3088.130,11.200,0.364%,0,G,1
31,TZA,B,1/3/2019,15.3650 ,-100,-1536.500,69,TZA,S,1/3/2019,15.4710 ,100,1547.100,0.030,1547.070,10.600,0.690%,0,G,1
32,TZA,B,1/3/2019,15.3650 ,-100,-1536.500,69,TZA,S,1/3/2019,15.4710 ,100,1547.100,0.040,1547.060,10.600,0.690%,0,G,1
4,UVXY,B,1/3/2019,83.9200 ,-1,-83.920,43,UVXY,S,1/3/2019,83.9400 ,1,83.940,0.020,83.920,0.020,0.024%,0,G,1
4,UVXY,B,1/3/2019,83.9200 ,-19,-1594.480,44,UVXY,S,1/3/2019,83.9400 ,19,1594.860,0.040,1594.820,0.380,0.024%,0,G,1
5,UVXY,B,1/3/2019,85.3171 ,-100,-8531.710,45,UVXY,S,1/3/2019,85.4000 ,100,8540.000,0.130,8539.870,8.290,0.097%,0,G,1
